BCB,0.00013173480174377694
BCL,0.0002529154921901977
BCP,0.0002529154921901977
BLU,0.00013173480174377694
BSF,0.00012119665626386666
BTH,0.00019496134227858786
CAD,0.00020549871032127243
CAT,0.00008431227242289285
CCC,0.00013700383283388184
CFP,0.0002529154921901977
CFR,0.00010538922979275167
CHA,0.00020549871032127243
CHR,0.00015807967953229696
CKW,0.00012646574288710521
COL,0.0002529154921901977
CON,0.00015807967953229696
DCR,0.00007904296366123553
DRP,0.00012119665626386666
ER2,0.000052696003330798824
EUT,0.00017388627301528903
FCP,0.00018442386317696347
FHM,0.0002529154921901977
GCR,0.0002529154921901977
HAM,0.00024764707192581614
HEM,0.0002107673526958731
HOL,0.000052696003330798824
HPC,0.00013173480174377694
KAN,0.000226573113234374
KNX,0.00013173480174377694
LAW,0.00015807967953229696
LCC,0.00012646574288710521
LCN,0.0002529154921901977
LEE,0.00012646574288710521
LHP,0.00010538922979275167
LIL,0.00012646574288710521
LL1,0.00013173480174377694
LL2,0.00013173480174377694
LL3,0.00012646574288710521
LM1,0.0000895815534167621
LM2,0.00012646574288710521
LM3,0.0000737736271315681
LOC,0.00020023004018221435
MAN,0.0002529154921901977
MC1,0.00008431227242289285
MC2,0.00009485080664295431
MC3,0.00006323487076798084
MLK,0.00012646574288710521
MS1,0.00012646574288710521
MS2,0.00012119665626386666
MWR,0.00013173480174377694
NAG,0.00015807967953229696
OFR,0.00017388627301528903
OSF,0.00018442386317696347
PCB,0.0002529154921901977
PER,0.0002529154921901977
PET,0.00012646574288710521
PIA,0.0000737736271315681
PMQ,0.0003161343698796504
POC,0.0002529154921901977
PWP,0.0002529154921901977
RCA,0.00013173480174377694
RL,0.00014227283615764197
ROC,0.00013173480174377694
SAL,0.00015807967953229696
SAN,0.00011065839971680091
SCI,0.00012646574288710521
SEL,0.000026348348783122866
SFP,0.00013173480174377694
SHE,0.00012646574288710521
SHO,0.00012646574288710521
STO,0.000052696003330798824
SU1,0.00017388627301528903
SUS,0.00015807967953229696
TAL,0.00012646574288710521
TER,0.00017915508197874352
TUN,0.00013173480174377694
TYG,0.0002529154921901977
WBF,0.000226573113234374
WDP,0.00014227283615764197
WEN,0.000052696003330798824
WES,0.00011592754187383925
